Year,Month,Temperature,Pressure,Precipitable Water,Aerosol Optical Depth,Dew Point,Ozone,Cloud Type,Cloud Fill Flag,Asymmetry,SSA
2025,1,-1.3714644,0.49007893,-0.014070153,-0.5091408,-0.5721192,-0.5469031,1.114158,0.44220197,1.2249732,0.5370557
2025,2,-1.0777835,0.23880368,-0.037882246,-0.33772936,-0.5364624,-0.1527874,0.8115305,0.59304583,1.1936643,0.6463057
2025,3,-0.7812252,-0.0922874,-0.026885413,-0.15596636,-0.38525176,0.37986904,0.43946257,0.5116954,0.84068334,0.58699113
2025,4,-0.42616045,-0.4975248,0.009120889,0.034655973,-0.051207602,1.1966776,-0.16432229,0.30084056,0.45047987,0.31753922
2025,5,0.038170036,-0.9450573,0.04518284,0.20845835,0.38510874,1.6067524,-0.6887178,-0.023059167,0.2554235,-0.05479578
2025,6,0.5832162,-1.2604588,0.09584459,0.3551876,0.8045208,0.93960625,-0.99467784,-0.37944403,-0.348025,-0.46304908
2025,7,0.960112,-1.3975834,0.09584965,0.4722527,1.007168,0.18255408,-1.1701021,-0.69097805,-0.91603196,-0.6653283
2025,8,1.2355417,-1.3683158,0.086312555,0.45819995,0.8374914,-0.285425,-1.1393957,-0.9217877,-1.5543909,-0.6046741
2025,9,1.2961148,-1.1722281,0.047328576,0.30372256,0.32598913,-0.64320445,-0.91728103,-1.0364554,-1.1914512,-0.4772152
2025,10,0.6975439,-0.4834732,0.03338313,0.045893468,-0.29397553,-0.9408898,-0.23690674,-0.97097564,0.40749696,-0.21709007
2025,11,-0.7236481,0.13812563,0.01794441,-0.23401654,-0.59881556,-1.0075699,0.6336645,-0.69250053,-0.58514655,0.117250994
2025,12,-1.3970603,0.4821598,0.019364193,-0.44138265,-0.6887495,-0.8512976,0.9927333,-0.30427194,0.62158525,0.31886178
2026,1,-1.307931,0.5101021,0.016957369,-0.5297723,-0.71141696,-0.47302532,0.9584209,0.14071508,1.0240266,0.41253892
2026,2,-0.97298837,0.3718319,0.0183267,-0.49430433,-0.6244918,-0.070279196,0.723092,0.501091,1.2005562,0.40354937
2026,3,-0.687068,-0.016950034,0.022642493,-0.36219296,-0.37624,0.55601114,0.32301173,0.65903,0.8460957,0.2612911
2026,4,-0.30619663,-0.4630263,0.027788084,-0.19210325,0.07442868,1.298419,-0.20695376,0.56950736,0.47162017,0.017180476
2026,5,0.2178461,-0.8818935,0.031777374,-0.016162083,0.57675624,1.618307,-0.7085365,0.34279752,0.21391043,-0.27320075
2026,6,0.7035036,-1.1843562,0.033722974,0.15418862,0.955043,0.9403845,-0.9993115,0.013109058,-0.35434937,-0.4919543
2026,7,1.047044,-1.3615972,0.032403607,0.30147052,1.0344528,0.1439875,-1.1145945,-0.34942693,-0.93064594,-0.53370893
2026,8,1.2771182,-1.3530186,0.029684741,0.40345255,0.68797046,-0.34702045,-1.0354248,-0.662148,-1.5916865,-0.4357545
2026,9,1.2102333,-1.0590907,0.026362855,0.40272185,0.034975618,-0.69746596,-0.6149499,-0.88405687,-1.58536,-0.23917076
2026,10,0.29505676,-0.48563695,0.024239186,0.27591524,-0.48749512,-0.969641,0.14903845,-0.9899473,0.39761713,-0.015813518
2026,11,-0.9906992,0.10127838,0.022848494,0.062328182,-0.70258754,-1.0356712,0.8396765,-0.9092388,-0.00049960613,0.17755844
2026,12,-1.4270293,0.41723418,0.022472918,-0.18044007,-0.76936996,-0.84026253,1.0428038,-0.64153284,0.7133666,0.28994453
2027,1,-1.2141689,0.5049299,0.022473708,-0.37570468,-0.7374799,-0.45662683,0.9406465,-0.22588408,0.9886739,0.31048033
2027,2,-0.8667477,0.38696665,0.02290022,-0.4771541,-0.6084353,-0.0517435,0.69541377,0.21292308,1.1488243,0.22394659
2027,3,-0.57706654,0.00018948317,0.023490578,-0.46853712,-0.2563684,0.5993602,0.23616146,0.5646654,0.79371035,0.047232952
2027,4,-0.17418538,-0.44630727,0.02398273,-0.3629272,0.2563564,1.3433149,-0.30521026,0.68803334,0.44510353,-0.16836041
2027,5,0.40001208,-0.86154085,0.024209425,-0.21128275,0.77274823,1.6316265,-0.7867116,0.57081527,0.16452718,-0.35545927
2027,6,0.8095233,-1.1605622,0.02412869,-0.042417184,1.064427,0.89676106,-1.048504,0.32550037,-0.4278297,-0.4299901
2027,7,1.1275564,-1.338441,0.023793876,0.11667724,0.9907551,0.10474149,-1.1144712,-0.016783737,-1.0035412,-0.3826308
2027,8,1.2929323,-1.3318115,0.02336517,0.25710982,0.49110264,-0.37170953,-0.9233833,-0.38069928,-1.6857849,-0.24444403
2027,9,1.0468905,-1.039058,0.022963718,0.35918075,-0.22653571,-0.7196327,-0.34406996,-0.6867535,-1.6474522,-0.06965201
2027,10,-0.13749297,-0.4964466,0.022681471,0.37097493,-0.6148967,-0.9842702,0.43981048,-0.900233,0.67725146,0.09384842
2027,11,-1.2102839,0.081720576,0.022518195,0.26724744,-0.76549387,-1.037838,1.0112456,-0.9870037,0.34783378,0.20326139
2027,12,-1.3853394,0.4003415,0.022464067,0.079452276,-0.790387,-0.8256127,1.1019515,-0.880847,0.68851435,0.23896165
